"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"TPRIBASI","Total public and primary voluntary health insurance coverage","COVPOPTX","% of total population covered","AUS","Australia","2010","2010",100,"E","Estimated value"
"TPRIBASI","Total public and primary voluntary health insurance coverage","COVPOPTX","% of total population covered","AUS","Australia","2011","2011",100,"E","Estimated value"
"TPRIBASI","Total public and primary voluntary health insurance coverage","COVPOPTX","% of total population covered","AUS","Australia","2012","2012",100,"E","Estimated value"
"TPRIBASI","Total public and primary voluntary health insurance coverage","COVPOPTX","% of total population covered","AUS","Australia","2013","2013",100,"E","Estimated value"
"TPRIBASI","Total public and primary voluntary health insurance coverage","COVPOPTX","% of total population covered","AUS","Australia","2014","2014",100,"E","Estimated value"
"TPRIBASI","Total public and primary voluntary health insurance coverage","COVPOPTX","% of total population covered","AUS","Australia","2015","2015",100,"E","Estimated value"
"TPRIBASI","Total public and primary voluntary health insurance coverage","COVPOPTX","% of total population covered","AUS","Australia","2016","2016",100,"E","Estimated value"
"TPRIBASI","Total public and primary voluntary health insurance coverage","COVPOPTX","% of total population covered","AUS","Australia","2017","2017",100,"E","Estimated value"
"TPRIBASI","Total public and primary voluntary health insurance coverage","COVPOPTX","% of total population covered","AUS","Australia","2018","2018",100,"E","Estimated value"
"TPRIBASI","Total public and primary voluntary health insurance coverage","COVPOPTX","% of total population covered","AUS","Australia","2019","2019",100,"E","Estimated value"
"TPRIBASI","Total public and primary voluntary health insurance coverage","COVPOPTX","% of total population covered","AUS","Australia","2020","2020",100,"E","Estimated value"
"TPRIBASI","Total public and primary voluntary health insurance coverage","COVPOPTX","% of total population covered","AUS","Australia","2021","2021",100,"E","Estimated value"
"TPRIBASI","Total public and primary voluntary health insurance coverage","COVPOPTX","% of total population covered","AUS","Australia","2022","2022",100,"E","Estimated value"
"TPRIBASI","Total public and primary voluntary health insurance coverage","COVPOPTX","% of total population covered","AUT","Austria","2010","2010",99.3,,
"TPRIBASI","Total public and primary voluntary health insurance coverage","COVPOPTX","% of total population covered","AUT","Austria","2011","2011",99.9,,
"TPRIBASI","Total public and primary voluntary health insurance coverage","COVPOPTX","% of total population covered","AUT","Austria","2012","2012",99.9,,
"TPRIBASI","Total public and primary voluntary health insurance coverage","COVPOPTX","% of total population covered","AUT","Austria","2013","2013",99.9,,
"TPRIBASI","Total public and primary voluntary health insurance coverage","COVPOPTX","% of total population covered","AUT","Austria","2014","2014",99.9,,
"TPRIBASI","Total public and primary voluntary health insurance coverage","COVPOPTX","% of total population covered","AUT","Austria","2015","2015",99.9,,
"TPRIBASI","Total public and primary voluntary health insurance coverage","COVPOPTX","% of total population covered","AUT","Austria","2016","2016",99.9,,
"TPRIBASI","Total public and primary voluntary health insurance coverage","COVPOPTX","% of total population covered","AUT","Austria","2017","2017",99.9,,
"TPRIBASI","Total public and primary voluntary health insurance coverage","COVPOPTX","% of total population covered","AUT","Austria","2018","2018",99.9,,
"TPRIBASI","Total public and primary voluntary health insurance coverage","COVPOPTX","% of total population covered","AUT","Austria","2019","2019",99.9,,
"TPRIBASI","Total public and primary voluntary health insurance coverage","COVPOPTX","% of total population covered","AUT","Austria","2020","2020",99.9,,
"TPRIBASI","Total public and primary voluntary health insurance coverage","COVPOPTX","% of total population covered","AUT","Austria","2021","2021",99.9,,
"TPRIBASI","Total public and primary voluntary health insurance coverage","COVPOPTX","% of total population covered","BEL","Belgium","2010","2010",99,,
"TPRIBASI","Total public and primary voluntary health insurance coverage","COVPOPTX","% of total population covered","BEL","Belgium","2011","2011",99,,
"TPRIBASI","Total public and primary voluntary health insurance coverage","COVPOPTX","% of total population covered","BEL","Belgium","2012","2012",99,,
"TPRIBASI","Total public and primary voluntary health insurance coverage","COVPOPTX","% of total population covered","BEL","Belgium","2013","2013",99,,
"TPRIBASI","Total public and primary voluntary health insurance coverage","COVPOPTX","% of total population covered","BEL","Belgium","2014","2014",99,,
"TPRIBASI","Total public and primary voluntary health insurance coverage","COVPOPTX","% of total population covered","BEL","Belgium","2015","2015",99,,
"TPRIBASI","Total public and primary voluntary health insurance coverage","COVPOPTX","% of total population covered","BEL","Belgium","2016","2016",99,,
"TPRIBASI","Total public and primary voluntary health insurance coverage","COVPOPTX","% of total population covered","BEL","Belgium","2017","2017",98.7,"E","Estimated value"
"TPRIBASI","Total public and primary voluntary health insurance coverage","COVPOPTX","% of total population covered","BEL","Belgium","2018","2018",98.7,"E","Estimated value"
"TPRIBASI","Total public and primary voluntary health insurance coverage","COVPOPTX","% of total population covered","BEL","Belgium","2019","2019",98.6,"E","Estimated value"
"TPRIBASI","Total public and primary voluntary health insurance coverage","COVPOPTX","% of total population covered","BEL","Belgium","2020","2020",98.6,"E","Estimated value"
