Country,Year,Expectancy,Value
Australia,2010,81.7,100.0
Australia,2011,81.9,100.0
Australia,2012,82.0,100.0
Australia,2013,82.1,100.0
Australia,2014,82.3,100.0
Australia,2015,82.4,100.0
Australia,2016,82.4,100.0
Australia,2017,82.5,100.0
Australia,2018,82.7,100.0
Australia,2019,82.9,100.0
Australia,2020,83.2,100.0
Australia,2021,83.3,100.0
Austria,2010,80.7,99.3
Austria,2011,81.1,99.9
Austria,2012,81.1,99.9
Austria,2013,81.3,99.9
Austria,2014,81.6,99.9
Austria,2015,81.3,99.9
Austria,2016,81.8,99.9
Austria,2017,81.7,99.9
Austria,2018,81.8,99.9
Austria,2019,82.0,99.9
Austria,2020,81.3,99.9
Austria,2021,81.3,99.9
Belgium,2010,80.3,99.0
Belgium,2011,80.7,99.0
Belgium,2012,80.5,99.0
Belgium,2013,80.7,99.0
Belgium,2014,81.4,99.0
Belgium,2015,81.1,99.0
Belgium,2016,81.5,99.0
Belgium,2017,81.6,98.7
Belgium,2018,81.7,98.7
Belgium,2019,82.1,98.6
Belgium,2020,80.8,98.6
Belgium,2021,81.9,98.6
Belgium,2022,81.8,98.6
Canada,2010,81.4,100.0
Canada,2011,81.6,100.0
Canada,2012,81.8,100.0
Canada,2013,81.8,100.0
Canada,2014,81.9,100.0
Canada,2015,81.9,100.0
Canada,2016,82.0,100.0
Canada,2017,81.9,100.0
Canada,2018,81.9,100.0
Canada,2019,82.3,100.0
Canada,2020,81.7,100.0
Canada,2021,81.6,100.0
Czechia,2010,77.7,100.0
Czechia,2011,78.0,100.0
Czechia,2012,78.1,100.0
Czechia,2013,78.3,100.0
Czechia,2014,78.9,100.0
Czechia,2015,78.7,100.0
Czechia,2016,79.1,100.0
Czechia,2017,79.1,100.0
Czechia,2018,79.1,100.0
Czechia,2019,79.3,100.0
Czechia,2020,78.3,100.0
Czechia,2021,77.2,100.0
Czechia,2022,79.1,100.0
Denmark,2010,79.3,100.0
Denmark,2011,79.9,100.0
Denmark,2012,80.2,100.0
Denmark,2013,80.4,100.0
Denmark,2014,80.7,100.0
Denmark,2015,80.8,100.0
Denmark,2016,80.9,100.0
Denmark,2017,81.1,100.0
Denmark,2018,81.0,100.0
Denmark,2019,81.5,100.0
Denmark,2020,81.6,100.0
Denmark,2021,81.5,100.0
Denmark,2022,81.3,100.0
Finland,2010,80.2,100.0
Finland,2011,80.6,100.0
Finland,2012,80.7,100.0
Finland,2013,81.1,100.0
Finland,2014,81.3,100.0
Finland,2015,81.6,100.0
Finland,2016,81.5,100.0
Finland,2017,81.7,100.0
Finland,2018,81.8,100.0
Finland,2019,82.1,100.0
Finland,2020,82.0,100.0
Finland,2021,81.9,100.0
Finland,2022,81.2,100.0
France,2010,81.9,99.9
France,2011,82.3,99.9
France,2012,82.1,99.9
France,2013,82.4,99.9
France,2014,82.9,99.9
France,2015,82.4,99.9
France,2016,82.7,99.9
France,2017,82.7,99.9
France,2018,82.8,99.9
France,2019,83.0,99.9
France,2020,82.3,99.9
