Year,Country,Value
2010,Australia,81.7
2011,Australia,81.9
2012,Australia,82.0
2013,Australia,82.1
2014,Australia,82.3
2015,Australia,82.4
2016,Australia,82.4
2017,Australia,82.5
2018,Australia,82.7
2019,Australia,82.9
2020,Australia,83.2
2021,Australia,83.3
2010,Austria,80.7
2011,Austria,81.1
2012,Austria,81.1
2013,Austria,81.3
2014,Austria,81.6
2015,Austria,81.3
2016,Austria,81.8
2017,Austria,81.7
2018,Austria,81.8
2019,Austria,82.0
2020,Austria,81.3
2021,Austria,81.3
2022,Austria,81.1
2010,Belgium,80.3
2011,Belgium,80.7
2012,Belgium,80.5
2013,Belgium,80.7
2014,Belgium,81.4
2015,Belgium,81.1
2016,Belgium,81.5
2017,Belgium,81.6
2018,Belgium,81.7
2019,Belgium,82.1
2020,Belgium,80.8
2021,Belgium,81.9
2022,Belgium,81.8
2010,Canada,81.4
2011,Canada,81.6
2012,Canada,81.8
2013,Canada,81.8
2014,Canada,81.9
2015,Canada,81.9
2016,Canada,82.0
2017,Canada,81.9
2018,Canada,81.9
2019,Canada,82.3
2020,Canada,81.7
2021,Canada,81.6
2010,Czechia,77.7
2011,Czechia,78.0
2012,Czechia,78.1
2013,Czechia,78.3
2014,Czechia,78.9
2015,Czechia,78.7
2016,Czechia,79.1
2017,Czechia,79.1
2018,Czechia,79.1
2019,Czechia,79.3
2020,Czechia,78.3
2021,Czechia,77.2
2022,Czechia,79.1
2010,Denmark,79.3
2011,Denmark,79.9
2012,Denmark,80.2
2013,Denmark,80.4
2014,Denmark,80.7
2015,Denmark,80.8
2016,Denmark,80.9
2017,Denmark,81.1
2018,Denmark,81.0
2019,Denmark,81.5
2020,Denmark,81.6
2021,Denmark,81.5
2022,Denmark,81.3
2010,Finland,80.2
2011,Finland,80.6
2012,Finland,80.7
2013,Finland,81.1
2014,Finland,81.3
2015,Finland,81.6
2016,Finland,81.5
2017,Finland,81.7
2018,Finland,81.8
2019,Finland,82.1
2020,Finland,82.0
2021,Finland,81.9
2022,Finland,81.2
2010,France,81.9
2011,France,82.3
2012,France,82.1
2013,France,82.4
2014,France,82.9
2015,France,82.4
2016,France,82.7
2017,France,82.7
2018,France,82.8
2019,France,83.0
2020,France,82.3
2021,France,82.4
2022,France,82.3
2010,Germany,80.5
2011,Germany,80.6
2012,Germany,80.7
2013,Germany,80.6
2014,Germany,81.2
2015,Germany,80.7
2016,Germany,81.0
2017,Germany,81.1
2018,Germany,81.0
2019,Germany,81.3
2020,Germany,81.1
2021,Germany,80.8
2022,Germany,80.7
2010,Greece,80.6
2011,Greece,80.8
2012,Greece,80.7
2013,Greece,81.4
2014,Greece,81.5
2015,Greece,81.1
2016,Greece,81.5
2017,Greece,81.4
2018,Greece,81.9
2019,Greece,81.7
2020,Greece,81.4
2021,Greece,80.2
2022,Greece,80.7
2010,Hungary,74.7
2011,Hungary,75.1
2012,Hungary,75.3
2013,Hungary,75.8
2014,Hungary,76.0
