Country,Year,Value
Australia,2010,100.0
Australia,2011,100.0
Australia,2012,100.0
Australia,2013,100.0
Australia,2014,100.0
Australia,2015,100.0
Australia,2016,100.0
Australia,2017,100.0
Australia,2018,100.0
Australia,2019,100.0
Australia,2020,100.0
Australia,2021,100.0
Australia,2022,100.0
Austria,2010,99.3
Austria,2011,99.9
Austria,2012,99.9
Austria,2013,99.9
Austria,2014,99.9
Austria,2015,99.9
Austria,2016,99.9
Austria,2017,99.9
Austria,2018,99.9
Austria,2019,99.9
Austria,2020,99.9
Austria,2021,99.9
Belgium,2010,99.0
Belgium,2011,99.0
Belgium,2012,99.0
Belgium,2013,99.0
Belgium,2014,99.0
Belgium,2015,99.0
Belgium,2016,99.0
Belgium,2017,98.7
Belgium,2018,98.7
Belgium,2019,98.6
Belgium,2020,98.6
Belgium,2021,98.6
Belgium,2022,98.6
Canada,2010,100.0
Canada,2011,100.0
Canada,2012,100.0
Canada,2013,100.0
Canada,2014,100.0
Canada,2015,100.0
Canada,2016,100.0
Canada,2017,100.0
Canada,2018,100.0
Canada,2019,100.0
Canada,2020,100.0
Canada,2021,100.0
Canada,2022,100.0
Czechia,2010,100.0
Czechia,2011,100.0
Czechia,2012,100.0
Czechia,2013,100.0
Czechia,2014,100.2
Czechia,2015,100.0
Czechia,2016,100.0
Czechia,2017,100.0
Czechia,2018,100.0
Czechia,2019,100.0
Czechia,2020,100.0
Czechia,2021,100.0
Czechia,2022,100.0
Denmark,2010,100.0
Denmark,2011,100.0
Denmark,2012,100.0
Denmark,2013,100.0
Denmark,2014,100.0
Denmark,2015,100.0
Denmark,2016,100.0
Denmark,2017,100.0
Denmark,2018,100.0
Denmark,2019,100.0
Denmark,2020,100.0
Denmark,2021,100.0
Denmark,2022,100.0
Finland,2010,100.0
Finland,2011,100.0
Finland,2012,100.0
Finland,2013,100.0
Finland,2014,100.0
Finland,2015,100.0
Finland,2016,100.0
Finland,2017,100.0
Finland,2018,100.0
Finland,2019,100.0
Finland,2020,100.0
Finland,2021,100.0
Finland,2022,100.0
France,2010,99.9
France,2011,99.9
France,2012,99.9
France,2013,99.9
France,2014,99.9
France,2015,99.9
France,2016,99.9
France,2017,99.9
France,2018,99.9
France,2019,99.9
France,2020,99.9
France,2021,99.9
France,2022,99.9
Germany,2010,99.8
Germany,2011,99.8
Germany,2012,99.9
Germany,2013,99.9
Germany,2014,99.9
Germany,2015,99.9
Germany,2016,99.9
Germany,2017,99.9
Germany,2018,99.9
Germany,2019,99.9
Germany,2020,99.9
Germany,2021,99.9
Greece,2016,100.0
Greece,2017,100.0
Greece,2018,100.0
Greece,2019,100.0
Greece,2020,100.0
Greece,2021,100.0
Hungary,2010,97.0
Hungary,2011,96.0
Hungary,2012,96.0
Hungary,2013,96.0
Hungary,2014,95.0
Hungary,2015,95.0
Hungary,2016,95.0
Hungary,2017,94.0
Hungary,2018,94.0
Hungary,2019,94.0
Hungary,2020,94.0
Hungary,2021,95.0
Iceland,2010,100.0
Iceland,2011,100.0
Iceland,2012,100.0
Iceland,2013,100.0
Iceland,2014,100.0
Iceland,2015,100.0
Iceland,2016,100.0
Iceland,2017,100.0
Iceland,2018,100.0
Iceland,2019,100.0
Iceland,2020,100.0
Iceland,2021,100.0
Ireland,2010,100.0
Ireland,2011,100.0
Ireland,2012,100.0
Ireland,2013,100.0
Ireland,2014,100.0
Ireland,2015,100.0
Ireland,2016,100.0
Ireland,2017,100.0
Ireland,2018,100.0
Ireland,2019,100.0
Ireland,2020,100.0
Ireland,2021,100.0
Ireland,2022,100.0
Italy,2010,100.0
Italy,2011,100.0
Italy,2012,100.0
Italy,2013,100.0
Italy,2014,100.0
Italy,2015,100.0
Italy,2016,100.0
Italy,2017,100.0
Italy,2018,100.0
